Timestamp,Country,State (na if not applicable),City,Age,Major Category/Industry,Major,City in Taiwan you're from,Birth Month,Comments/Questions,Gender,Age When Moved Abroad,Where would you rather be
12/20/2018 0:53:19,Spain ,na,Cuenca,23,Language school,Spanish ,新竹,November,,Female,22,4
12/18/2018 19:58:08,Spain,Na,Madrid,,Humanities,Humanities,台北,September,Muchas gracias,,,
12/19/2018 20:42:47,Spain,Na,Madrid,21,"Medical Sciences, Medicine, Nursing",Dentistry,南投,August,,Female,,
12/19/2018 19:55:28,Spain,Na,Madrid,18,"Medical Sciences, Medicine, Nursing",Medical Sciences,花蓮,August,,Female,,
12/19/2018 21:23:40,South Korea ,Na,Seoul,22,"Economics, Management",Hotel management ,台北,January,,Male,,
12/20/2018 1:21:30,south korea ,na,seoul ,23,Technology management ,,台北,April,,Female,22,3
12/19/2018 23:35:07,South Korea,Na,Seoul ,19,Humanities,Humanities,高雄,May,,Female,,
12/20/2018 4:54:29,South korea,Korea,인천,21,"Economics, Management, Business, Marketing",글로벌금융 ,,May,,Female,20,7
12/20/2018 9:11:38,South Africa ,Western Cape,Cape Town ,23,"Economics, Management, Business, Marketing",Marketing ,台中,January,,Female,15,8
12/20/2018 5:06:57,Singapore ,Na,Singapore ,19,"Economics, Management, Business, Marketing",Banking and finance ,桃園,July,,Female,19,6
12/19/2018 19:54:14,Singapore,Na,Singapore,23,"Economics, Management",Management and marketing,高雄,October,,Female,,
12/20/2018 10:49:06,Singapore,na,na,23,"Engineering, Computer Science",EEE,桃園,September,,Female,14,10
12/20/2018 2:09:10,singaoore,Na,singapore,18,"Art, Music, Architecture, Film, Media",design communication,台北,January,Nothing,Male,18,5
12/20/2018 17:32:43,Russia ,no,Khabarovsk,19,Law,diplomatic,基隆,August,,Female,18,1
12/19/2018 15:23:52,Poland,Na,Poznań ,21,Humanities,Humanities,新竹,April,,Male,,
12/20/2018 0:13:23,Poland,Silesia,Katowice,22,"Medical Sciences, Medicine, Nursing",Dentistry ,苗栗,January,,Female,,
12/19/2018 9:19:05,Philippines ,Manila,Manila ,19,Education,Early childhood education ,彰化,March,,Female,,
12/19/2018 18:31:35,Paraguay,Asuncion ,Asuncion,16,Still in High School,Still in High School,桃園,April,Np :/,Male,,
12/20/2018 1:23:10,New Zealand ,Na,Dunedin,22,"Medical Sciences, Medicine, Nursing",Pharmacy ,彰化,September,,Female,14,4
12/20/2018 3:19:37,New Zealand ,Na,Auckland,20,Foundation Studies,,桃園,October,,Female,20,8
12/19/2018 4:51:16,New Zealand,Auckland,Auckland,19,"Art, Music, Architecture, Film, Media","Architecture, Art and Planning",新北,May,,Female,,
12/20/2018 1:50:21,New Zealand,Na ,Auckland,21,"Economics, Management, Business, Marketing",Accounting ,高雄,July,,Female,20,7
12/20/2018 4:20:35,New zealand,Auckland,Auckland ,23,"Medical Sciences, Medicine, Nursing",Public health,台北,September,,Male,12,5
12/20/2018 6:20:03,New Zealand,Na,Auckland,20,"Medical Sciences, Medicine, Nursing",Medicine,桃園,February,,Female,17,9
12/18/2018 19:10:26,Netherlands ,Noord Holland ,Amsterdam ,,"Economics, Management",Economics and Management,台北,May,,,,
12/19/2018 1:00:10,Netherlands ,Tilburg ,Tilburg,21,"Economics, Management",Economics and Management,台南,December,No,,,
12/19/2018 19:34:12,Netherlands ,null,Eindhoven,27,Engineering,innovation science,台北,September,,Male,,
